url;paperurl;org;per;loc
http://www.express.co.uk/news/showbiz/395963/Vanessa-Williams-proves-she-really-is-fabulous-at-50-in-show-stopping-dress;http://www.express.co.uk/;"Showbiz;News;Daily Express;Broadway;NCTF;Broadway;NCTF";"Vanessa Williams;Vanessa Williams;Azadeh;Vanessa;Vanessa;Williams;Williams;Bruce Whitacre";"Pierre Hotel;New York;U S"
http://www.express.co.uk/news/showbiz/395962/Gwyneth-Paltrow-and-Robert-Downey-Jr-cosy-up-and-tell-all-about-their-20-year-friendship;http://www.express.co.uk/;"Showbiz;News;Daily Express";"Gwyneth Paltrow;Robert Downey Jr;Gwyneth Paltrow;Robert Downey Jr;Paltrow;Downey";"Four Seasons Hotel;Los Angeles"
http://www.express.co.uk/sport/football/395964/Manchester-City-readying-mega-bid-for-Borussia-Dortmund-star-Marco-Reus;http://www.express.co.uk/;"Manchester City;Borussia Dortmund;Football Sport;Daily Express;Manchester City;City;Dortmund;Bayern Munich;City;Goal com;City;Dortmund;Chelsea;Blues;City;Napoli;Dortmund";"Marco Reus;Marco Reus;Robin van Persie;Joleon Lescott;Samir Nasri;Mario Goetze;Reus;Reus;Reus;Roberto Mancini;Marco Reus Reus;Edinson Cavani;Reus";Etihad
http://www.express.co.uk/sport/football/395967/Sunderland-appeal-against-Stephane-Sessegnon-s-red-card;http://www.express.co.uk/;"Football;Sport;Daily Express";"Stephane Sessegnon;Stephane Sessegnon;Lee Probert;Yacoub Sylla;Paolo Di Canio;Sessegnon";"Sunderland;Sunderland"
http://www.express.co.uk/news/royal/395966/The-Queen-greets-the-President-of-the-United-Arab-Emirates-at-Windsor-Castle;http://www.express.co.uk/;"United Arab Emirates;Royal News Daily Express;United Arab Emirates";;"Windsor Castle;Edinburgh"
http://www.express.co.uk/news/showbiz/395970/Katherine-Jenkins-set-to-perform-at-festival-in-Buckingham-Palace-gardens;http://www.express.co.uk/;"Showbiz News Daily Express;Sylvia Young Theatre School;Dame Kiri Te Kanawa Foundation;National Youth Orchestra;Only Boys Aloud;Fanfare Trumpeters;Household Division;English National Ballet;New Adventures;East London Dance The;Royal Family;Armed Forces;Royal Warrant Holders Association";"Katherine Jenkins;Katherine Jenkins;Katie Melua;The Feeling;Matthew Bourne";"Buckingham Palace;Buckingham Palace;Commonwealth;Britain"
http://www.guardian.co.uk/sport/gallery/2013/apr/30/lions-squad-2013-in-pictures;http://www.guardian.co.uk/;Lions;"Jonny Wilkinson;Chris Robshaw;Sam Warburton";
http://www.guardian.co.uk/world/video/2013/apr/30/queen-beatrix-abdicates-son-dutch-king-video;http://www.guardian.co.uk/;;"Beatrix;Beatrix";
http://www.guardian.co.uk/football/2013/apr/30/alex-ferguson-wayne-rooney-manchester-united;http://www.guardian.co.uk/;"Manchester United;guardian co uk;Inside Review;Chelsea;Manchester City;Borussia;United;Man City;Málaga;Real Madrid;Real Madrid;Borussia Dortmund;Manchester United;Guardian";"Alex Ferguson;Wayne Rooney;Tom Cleverley;Shinji Kagawa;Chicharito;Hernández;Jonny Evans;Wayne Rooney;Paul Scholes;Rio Ferdinand;Adnan Januzaj;Ferguson;Ferdinand;Chris Smalling;Phil Jones;Michael Carrick;Anders Lindegaard;De Gea;Alex Ferguson;Wayne Rooney;Txiki Begiristain;Manuel Pellegrini;Sid Lowe;Alex Ferguson;Wayne Rooney;John le Carre;Francoise Laget;Simon Rogers;Hadley Freeman;Michael Symmons Roberts";
http://www.guardian.co.uk/world/gallery/2013/apr/30/queen-beatrix-abdication-in-pictures;http://www.guardian.co.uk/;;"Beatrix;Willem-Alexander;Beatrix";
